JoinField,JoinField_alt,Daniel Biss,Justin Ford,Mike Simmons,Bushra Amiwala,Patricia A. Brown,Jeff Cohen,Laura Fine,Phil Andrew,Nick Pyati,Kat Abughazaleh,Sam Polan,Bethany Johnson,Howard Rosenblum,Hoan Huynh,Mark Arnold Fredrickson,Total Voters
COOK:8300009,COOK:Northfield Precinct 9,53,0,1,2,1,1,56,70,0,17,6,0,1,5,1,214
COOK:8300010,COOK:Northfield Precinct 10,58,3,4,12,1,4,71,16,0,30,0,0,1,2,0,202
COOK:8300012,COOK:Northfield Precinct 12,131,2,3,7,2,0,181,63,0,50,2,3,0,1,1,446
COOK:8300013,COOK:Northfield Precinct 13,38,3,0,11,4,1,108,4,1,26,1,1,1,8,1,208
COOK:8300019,COOK:Northfield Precinct 19,80,1,1,7,1,1,140,40,0,29,0,0,0,1,0,301
COOK:8300020,COOK:Northfield Precinct 20,91,1,2,2,4,4,118,18,1,19,0,0,1,0,1,262
COOK:8300021,COOK:Northfield Precinct 21,109,1,0,9,2,1,161,54,0,44,0,0,0,3,0,384
COOK:8300023,COOK:Northfield Precinct 23,55,0,1,2,1,1,54,51,0,7,1,0,0,3,0,176
COOK:8300024,COOK:Northfield Precinct 24,81,0,3,8,3,0,104,23,0,29,1,1,0,1,0,254
COOK:8300025,COOK:Northfield Precinct 25,39,1,1,4,0,0,100,20,0,40,1,1,0,0,0,207
COOK:8300027,COOK:Northfield Precinct 27,48,2,6,9,4,0,85,11,0,36,0,1,0,4,0,206
COOK:8300030,COOK:Northfield Precinct 30,89,0,0,2,1,1,116,58,0,38,1,2,0,2,0,310
COOK:8300031,COOK:Northfield Precinct 31,70,3,0,8,1,0,99,31,1,47,2,2,1,5,1,271
COOK:8300033,COOK:Northfield Precinct 33,15,0,1,1,3,0,10,5,0,16,0,0,0,1,1,53
COOK:8300035,COOK:Northfield Precinct 35,56,0,2,6,0,2,79,41,1,37,0,0,0,1,1,226
COOK:8300037,COOK:Northfield Precinct 37,103,2,1,3,3,2,85,92,8,63,8,0,0,3,0,373
COOK:8300038,COOK:Northfield Precinct 38,46,0,4,10,1,0,85,16,0,37,0,1,0,0,1,201
COOK:8300039,COOK:Northfield Precinct 39,33,0,0,12,1,4,44,7,0,17,0,1,0,2,2,123
COOK:8300041,COOK:Northfield Precinct 41,62,0,0,5,1,0,160,16,0,14,0,1,0,1,0,260
COOK:8300042,COOK:Northfield Precinct 42,58,0,2,8,1,0,102,15,0,25,1,1,0,0,1,214
COOK:8300043,COOK:Northfield Precinct 43,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,5
COOK:8300044,COOK:Northfield Precinct 44,74,0,2,2,1,1,90,14,0,17,0,0,0,2,0,203
COOK:8300045,COOK:Northfield Precinct 45,46,0,3,5,3,1,84,19,0,15,1,1,1,0,0,179
COOK:8300048,COOK:Northfield Precinct 48,51,0,2,5,0,0,114,8,0,24,0,1,0,3,1,209
COOK:8300049,COOK:Northfield Precinct 49,39,1,1,15,1,1,64,5,1,22,1,0,0,3,0,154
COOK:8300051,COOK:Northfield Precinct 51,146,2,7,8,2,8,326,63,1,64,2,0,2,8,1,640
COOK:8300052,COOK:Northfield Precinct 52,67,1,3,3,0,1,149,32,0,23,1,0,0,3,0,283
COOK:8300053,COOK:Northfield Precinct 53,64,0,1,1,1,0,175,8,1,13,1,1,1,6,0,273
COOK:8300056,COOK:Northfield Precinct 56,99,0,1,16,2,2,129,29,0,39,0,0,0,2,0,319
COOK:8300057,COOK:Northfield Precinct 57,35,1,1,6,6,0,79,11,0,33,2,1,0,1,0,176
COOK:9600006,COOK:Wheeling Precinct 6,42,1,0,2,3,0,52,4,0,17,1,3,0,3,0,128
COOK:9600008,COOK:Wheeling Precinct 8,100,4,6,9,2,3,83,5,1,61,1,3,0,0,2,280
