JoinField,JoinField_alt,Ward/Township,Precinct,John Elleson,Paul Friedman,Rocio Cleveland,Dongbo Mark Su,Total Voters
CITY OF CHICAGO:WARD 40 PRECINCT 01,CITY OF CHICAGO:WARD 40 PRECINCT 01,40,1,15,4,1,1,21
CITY OF CHICAGO:WARD 40 PRECINCT 02,CITY OF CHICAGO:WARD 40 PRECINCT 02,40,2,11,4,3,3,21
CITY OF CHICAGO:WARD 40 PRECINCT 03,CITY OF CHICAGO:WARD 40 PRECINCT 03,40,3,7,5,2,3,17
CITY OF CHICAGO:WARD 40 PRECINCT 04,CITY OF CHICAGO:WARD 40 PRECINCT 04,40,4,2,1,1,2,6
CITY OF CHICAGO:WARD 40 PRECINCT 05,CITY OF CHICAGO:WARD 40 PRECINCT 05,40,5,5,7,1,2,15
CITY OF CHICAGO:WARD 40 PRECINCT 06,CITY OF CHICAGO:WARD 40 PRECINCT 06,40,6,9,2,1,5,17
CITY OF CHICAGO:WARD 40 PRECINCT 07,CITY OF CHICAGO:WARD 40 PRECINCT 07,40,7,12,1,1,3,17
CITY OF CHICAGO:WARD 40 PRECINCT 10,CITY OF CHICAGO:WARD 40 PRECINCT 10,40,10,5,7,0,0,12
CITY OF CHICAGO:WARD 40 PRECINCT 14,CITY OF CHICAGO:WARD 40 PRECINCT 14,40,14,3,4,0,2,9
CITY OF CHICAGO:WARD 40 PRECINCT 15,CITY OF CHICAGO:WARD 40 PRECINCT 15,40,15,1,3,1,0,5
CITY OF CHICAGO:WARD 40 PRECINCT 16,CITY OF CHICAGO:WARD 40 PRECINCT 16,40,16,2,0,1,3,6
CITY OF CHICAGO:WARD 40 PRECINCT 19,CITY OF CHICAGO:WARD 40 PRECINCT 19,40,19,0,0,0,1,1
CITY OF CHICAGO:WARD 40 PRECINCT 20,CITY OF CHICAGO:WARD 40 PRECINCT 20,40,20,9,8,3,0,20
CITY OF CHICAGO:WARD 40 PRECINCT 21,CITY OF CHICAGO:WARD 40 PRECINCT 21,40,21,1,4,0,0,5
CITY OF CHICAGO:WARD 41 PRECINCT 28,CITY OF CHICAGO:WARD 41 PRECINCT 28,41,28,26,27,5,3,61
CITY OF CHICAGO:WARD 41 PRECINCT 29,CITY OF CHICAGO:WARD 41 PRECINCT 29,41,29,48,39,4,4,95
CITY OF CHICAGO:WARD 41 PRECINCT 30,CITY OF CHICAGO:WARD 41 PRECINCT 30,41,30,40,31,15,6,92
CITY OF CHICAGO:WARD 41 PRECINCT 31,CITY OF CHICAGO:WARD 41 PRECINCT 31,41,31,52,24,7,3,86
CITY OF CHICAGO:WARD 46 PRECINCT 06,CITY OF CHICAGO:WARD 46 PRECINCT 06,46,6,14,3,1,1,19
CITY OF CHICAGO:WARD 46 PRECINCT 07,CITY OF CHICAGO:WARD 46 PRECINCT 07,46,7,3,0,0,0,3
CITY OF CHICAGO:WARD 46 PRECINCT 08,CITY OF CHICAGO:WARD 46 PRECINCT 08,46,8,3,3,2,1,9
CITY OF CHICAGO:WARD 46 PRECINCT 10,CITY OF CHICAGO:WARD 46 PRECINCT 10,46,10,4,5,1,2,12
CITY OF CHICAGO:WARD 46 PRECINCT 11,CITY OF CHICAGO:WARD 46 PRECINCT 11,46,11,10,6,2,3,21
CITY OF CHICAGO:WARD 46 PRECINCT 12,CITY OF CHICAGO:WARD 46 PRECINCT 12,46,12,9,9,7,6,31
CITY OF CHICAGO:WARD 46 PRECINCT 13,CITY OF CHICAGO:WARD 46 PRECINCT 13,46,13,7,6,1,2,16
CITY OF CHICAGO:WARD 46 PRECINCT 14,CITY OF CHICAGO:WARD 46 PRECINCT 14,46,14,2,4,1,2,9
CITY OF CHICAGO:WARD 46 PRECINCT 15,CITY OF CHICAGO:WARD 46 PRECINCT 15,46,15,21,14,6,2,43
CITY OF CHICAGO:WARD 46 PRECINCT 16,CITY OF CHICAGO:WARD 46 PRECINCT 16,46,16,1,6,2,2,11
CITY OF CHICAGO:WARD 46 PRECINCT 17,CITY OF CHICAGO:WARD 46 PRECINCT 17,46,17,8,3,2,2,15
CITY OF CHICAGO:WARD 46 PRECINCT 18,CITY OF CHICAGO:WARD 46 PRECINCT 18,46,18,7,12,2,5,26
CITY OF CHICAGO:WARD 46 PRECINCT 19,CITY OF CHICAGO:WARD 46 PRECINCT 19,46,19,5,10,1,5,21
CITY OF CHICAGO:WARD 46 PRECINCT 20,CITY OF CHICAGO:WARD 46 PRECINCT 20,46,20,9,6,1,2,18
CITY OF CHICAGO:WARD 46 PRECINCT 21,CITY OF CHICAGO:WARD 46 PRECINCT 21,46,21,3,8,1,3,15
CITY OF CHICAGO:WARD 46 PRECINCT 22,CITY OF CHICAGO:WARD 46 PRECINCT 22,46,22,11,9,0,0,20
CITY OF CHICAGO:WARD 46 PRECINCT 23,CITY OF CHICAGO:WARD 46 PRECINCT 23,46,23,3,5,0,2,10
CITY OF CHICAGO:WARD 47 PRECINCT 02,CITY OF CHICAGO:WARD 47 PRECINCT 02,47,2,1,1,0,0,2
CITY OF CHICAGO:WARD 47 PRECINCT 03,CITY OF CHICAGO:WARD 47 PRECINCT 03,47,3,0,0,0,0,0
CITY OF CHICAGO:WARD 47 PRECINCT 04,CITY OF CHICAGO:WARD 47 PRECINCT 04,47,4,3,6,0,2,11
CITY OF CHICAGO:WARD 47 PRECINCT 05,CITY OF CHICAGO:WARD 47 PRECINCT 05,47,5,4,1,0,1,6
CITY OF CHICAGO:WARD 47 PRECINCT 06,CITY OF CHICAGO:WARD 47 PRECINCT 06,47,6,2,2,0,3,7
CITY OF CHICAGO:WARD 48 PRECINCT 01,CITY OF CHICAGO:WARD 48 PRECINCT 01,48,1,5,3,0,2,10
CITY OF CHICAGO:WARD 48 PRECINCT 02,CITY OF CHICAGO:WARD 48 PRECINCT 02,48,2,4,4,0,2,10
CITY OF CHICAGO:WARD 48 PRECINCT 03,CITY OF CHICAGO:WARD 48 PRECINCT 03,48,3,6,3,5,2,16
CITY OF CHICAGO:WARD 48 PRECINCT 04,CITY OF CHICAGO:WARD 48 PRECINCT 04,48,4,2,3,1,0,6
CITY OF CHICAGO:WARD 48 PRECINCT 05,CITY OF CHICAGO:WARD 48 PRECINCT 05,48,5,7,0,0,0,7
CITY OF CHICAGO:WARD 48 PRECINCT 06,CITY OF CHICAGO:WARD 48 PRECINCT 06,48,6,5,7,2,1,15
CITY OF CHICAGO:WARD 48 PRECINCT 07,CITY OF CHICAGO:WARD 48 PRECINCT 07,48,7,2,5,1,3,11
CITY OF CHICAGO:WARD 48 PRECINCT 08,CITY OF CHICAGO:WARD 48 PRECINCT 08,48,8,5,4,2,2,13
CITY OF CHICAGO:WARD 48 PRECINCT 09,CITY OF CHICAGO:WARD 48 PRECINCT 09,48,9,8,7,3,0,18
CITY OF CHICAGO:WARD 48 PRECINCT 10,CITY OF CHICAGO:WARD 48 PRECINCT 10,48,10,3,3,1,0,7
CITY OF CHICAGO:WARD 48 PRECINCT 11,CITY OF CHICAGO:WARD 48 PRECINCT 11,48,11,4,0,0,1,5
CITY OF CHICAGO:WARD 48 PRECINCT 12,CITY OF CHICAGO:WARD 48 PRECINCT 12,48,12,7,21,4,3,35
CITY OF CHICAGO:WARD 48 PRECINCT 13,CITY OF CHICAGO:WARD 48 PRECINCT 13,48,13,9,17,4,2,32
CITY OF CHICAGO:WARD 48 PRECINCT 14,CITY OF CHICAGO:WARD 48 PRECINCT 14,48,14,3,4,0,0,7
CITY OF CHICAGO:WARD 48 PRECINCT 15,CITY OF CHICAGO:WARD 48 PRECINCT 15,48,15,4,4,4,2,14
CITY OF CHICAGO:WARD 48 PRECINCT 16,CITY OF CHICAGO:WARD 48 PRECINCT 16,48,16,3,4,1,1,9
CITY OF CHICAGO:WARD 48 PRECINCT 17,CITY OF CHICAGO:WARD 48 PRECINCT 17,48,17,9,6,2,4,21
CITY OF CHICAGO:WARD 48 PRECINCT 18,CITY OF CHICAGO:WARD 48 PRECINCT 18,48,18,11,8,3,5,27
CITY OF CHICAGO:WARD 48 PRECINCT 19,CITY OF CHICAGO:WARD 48 PRECINCT 19,48,19,0,2,1,1,4
CITY OF CHICAGO:WARD 48 PRECINCT 20,CITY OF CHICAGO:WARD 48 PRECINCT 20,48,20,4,2,1,2,9
CITY OF CHICAGO:WARD 48 PRECINCT 21,CITY OF CHICAGO:WARD 48 PRECINCT 21,48,21,11,10,1,1,23
CITY OF CHICAGO:WARD 48 PRECINCT 22,CITY OF CHICAGO:WARD 48 PRECINCT 22,48,22,11,11,1,2,25
CITY OF CHICAGO:WARD 48 PRECINCT 23,CITY OF CHICAGO:WARD 48 PRECINCT 23,48,23,10,11,1,2,24
CITY OF CHICAGO:WARD 48 PRECINCT 24,CITY OF CHICAGO:WARD 48 PRECINCT 24,48,24,14,18,3,6,41
CITY OF CHICAGO:WARD 48 PRECINCT 25,CITY OF CHICAGO:WARD 48 PRECINCT 25,48,25,2,3,0,3,8
CITY OF CHICAGO:WARD 48 PRECINCT 26,CITY OF CHICAGO:WARD 48 PRECINCT 26,48,26,4,3,0,0,7
CITY OF CHICAGO:WARD 48 PRECINCT 27,CITY OF CHICAGO:WARD 48 PRECINCT 27,48,27,7,7,3,3,20
CITY OF CHICAGO:WARD 48 PRECINCT 28,CITY OF CHICAGO:WARD 48 PRECINCT 28,48,28,0,4,0,0,4
CITY OF CHICAGO:WARD 48 PRECINCT 29,CITY OF CHICAGO:WARD 48 PRECINCT 29,48,29,5,5,1,2,13
CITY OF CHICAGO:WARD 48 PRECINCT 30,CITY OF CHICAGO:WARD 48 PRECINCT 30,48,30,8,4,0,1,13
CITY OF CHICAGO:WARD 48 PRECINCT 31,CITY OF CHICAGO:WARD 48 PRECINCT 31,48,31,3,1,0,2,6
CITY OF CHICAGO:WARD 48 PRECINCT 32,CITY OF CHICAGO:WARD 48 PRECINCT 32,48,32,1,2,1,1,5
CITY OF CHICAGO:WARD 48 PRECINCT 33,CITY OF CHICAGO:WARD 48 PRECINCT 33,48,33,4,1,1,0,6
CITY OF CHICAGO:WARD 48 PRECINCT 34,CITY OF CHICAGO:WARD 48 PRECINCT 34,48,34,4,10,0,5,19
CITY OF CHICAGO:WARD 48 PRECINCT 35,CITY OF CHICAGO:WARD 48 PRECINCT 35,48,35,6,5,1,2,14
CITY OF CHICAGO:WARD 49 PRECINCT 01,CITY OF CHICAGO:WARD 49 PRECINCT 01,49,1,4,4,1,1,10
CITY OF CHICAGO:WARD 49 PRECINCT 02,CITY OF CHICAGO:WARD 49 PRECINCT 02,49,2,7,12,1,7,27
CITY OF CHICAGO:WARD 49 PRECINCT 03,CITY OF CHICAGO:WARD 49 PRECINCT 03,49,3,10,7,2,5,24
CITY OF CHICAGO:WARD 49 PRECINCT 04,CITY OF CHICAGO:WARD 49 PRECINCT 04,49,4,8,11,3,1,23
CITY OF CHICAGO:WARD 49 PRECINCT 05,CITY OF CHICAGO:WARD 49 PRECINCT 05,49,5,10,2,0,2,14
CITY OF CHICAGO:WARD 49 PRECINCT 06,CITY OF CHICAGO:WARD 49 PRECINCT 06,49,6,0,0,0,0,0
CITY OF CHICAGO:WARD 49 PRECINCT 07,CITY OF CHICAGO:WARD 49 PRECINCT 07,49,7,15,11,2,0,28
CITY OF CHICAGO:WARD 49 PRECINCT 08,CITY OF CHICAGO:WARD 49 PRECINCT 08,49,8,4,4,1,1,10
CITY OF CHICAGO:WARD 49 PRECINCT 09,CITY OF CHICAGO:WARD 49 PRECINCT 09,49,9,6,2,7,6,21
CITY OF CHICAGO:WARD 49 PRECINCT 10,CITY OF CHICAGO:WARD 49 PRECINCT 10,49,10,1,11,1,0,13
CITY OF CHICAGO:WARD 49 PRECINCT 11,CITY OF CHICAGO:WARD 49 PRECINCT 11,49,11,8,6,1,2,17
CITY OF CHICAGO:WARD 49 PRECINCT 12,CITY OF CHICAGO:WARD 49 PRECINCT 12,49,12,6,7,3,5,21
CITY OF CHICAGO:WARD 49 PRECINCT 13,CITY OF CHICAGO:WARD 49 PRECINCT 13,49,13,10,11,2,1,24
CITY OF CHICAGO:WARD 49 PRECINCT 14,CITY OF CHICAGO:WARD 49 PRECINCT 14,49,14,10,2,2,3,17
CITY OF CHICAGO:WARD 49 PRECINCT 15,CITY OF CHICAGO:WARD 49 PRECINCT 15,49,15,12,4,2,2,20
CITY OF CHICAGO:WARD 49 PRECINCT 16,CITY OF CHICAGO:WARD 49 PRECINCT 16,49,16,4,9,1,1,15
CITY OF CHICAGO:WARD 49 PRECINCT 17,CITY OF CHICAGO:WARD 49 PRECINCT 17,49,17,5,4,1,1,11
CITY OF CHICAGO:WARD 50 PRECINCT 01,CITY OF CHICAGO:WARD 50 PRECINCT 01,50,1,2,10,0,2,14
CITY OF CHICAGO:WARD 50 PRECINCT 02,CITY OF CHICAGO:WARD 50 PRECINCT 02,50,2,10,13,2,2,27
CITY OF CHICAGO:WARD 50 PRECINCT 03,CITY OF CHICAGO:WARD 50 PRECINCT 03,50,3,3,13,2,2,20
CITY OF CHICAGO:WARD 50 PRECINCT 04,CITY OF CHICAGO:WARD 50 PRECINCT 04,50,4,7,8,2,1,18
CITY OF CHICAGO:WARD 50 PRECINCT 05,CITY OF CHICAGO:WARD 50 PRECINCT 05,50,5,4,12,4,2,22
CITY OF CHICAGO:WARD 50 PRECINCT 06,CITY OF CHICAGO:WARD 50 PRECINCT 06,50,6,1,5,3,2,11
CITY OF CHICAGO:WARD 50 PRECINCT 07,CITY OF CHICAGO:WARD 50 PRECINCT 07,50,7,11,6,3,6,26
CITY OF CHICAGO:WARD 50 PRECINCT 08,CITY OF CHICAGO:WARD 50 PRECINCT 08,50,8,8,4,4,4,20
CITY OF CHICAGO:WARD 50 PRECINCT 09,CITY OF CHICAGO:WARD 50 PRECINCT 09,50,9,4,0,1,1,6
CITY OF CHICAGO:WARD 50 PRECINCT 10,CITY OF CHICAGO:WARD 50 PRECINCT 10,50,10,6,7,1,1,15
CITY OF CHICAGO:WARD 50 PRECINCT 11,CITY OF CHICAGO:WARD 50 PRECINCT 11,50,11,4,10,0,0,14
CITY OF CHICAGO:WARD 50 PRECINCT 12,CITY OF CHICAGO:WARD 50 PRECINCT 12,50,12,0,14,1,2,17
CITY OF CHICAGO:WARD 50 PRECINCT 13,CITY OF CHICAGO:WARD 50 PRECINCT 13,50,13,8,5,4,3,20
CITY OF CHICAGO:WARD 50 PRECINCT 14,CITY OF CHICAGO:WARD 50 PRECINCT 14,50,14,1,7,2,2,12
CITY OF CHICAGO:WARD 50 PRECINCT 15,CITY OF CHICAGO:WARD 50 PRECINCT 15,50,15,9,13,1,2,25
CITY OF CHICAGO:WARD 50 PRECINCT 16,CITY OF CHICAGO:WARD 50 PRECINCT 16,50,16,5,2,1,2,10
CITY OF CHICAGO:WARD 50 PRECINCT 17,CITY OF CHICAGO:WARD 50 PRECINCT 17,50,17,2,8,2,3,15
CITY OF CHICAGO:WARD 50 PRECINCT 18,CITY OF CHICAGO:WARD 50 PRECINCT 18,50,18,0,2,0,0,2
CITY OF CHICAGO:WARD 50 PRECINCT 19,CITY OF CHICAGO:WARD 50 PRECINCT 19,50,19,5,3,1,0,9
