JoinField,JoinField_alt,Ward/Township,Precinct,Samantha Steele,"Elizabeth ""Liz"" Nicholson",Total Voters
COOK:8100009,COOK:New Trier Precinct 9,New Trier, 9,54,111,165
COOK:8100010,COOK:New Trier Precinct 10,New Trier, 10,60,91,151
COOK:8100011,COOK:New Trier Precinct 11,New Trier, 11,68,112,180
COOK:8100012,COOK:New Trier Precinct 12,New Trier, 12,70,106,176
COOK:8100013,COOK:New Trier Precinct 13,New Trier, 13,107,185,292
COOK:8100014,COOK:New Trier Precinct 14,New Trier, 14,67,108,175
COOK:8100015,COOK:New Trier Precinct 15,New Trier, 15,104,139,243
COOK:8100016,COOK:New Trier Precinct 16,New Trier, 16,57,115,172
COOK:8100017,COOK:New Trier Precinct 17,New Trier, 17,103,151,254
COOK:8100018,COOK:New Trier Precinct 18,New Trier, 18,58,100,158
COOK:8100019,COOK:New Trier Precinct 19,New Trier, 19,60,103,163
COOK:8100020,COOK:New Trier Precinct 20,New Trier, 20,111,170,281
COOK:8100021,COOK:New Trier Precinct 21,New Trier, 21,131,161,292
COOK:8100022,COOK:New Trier Precinct 22,New Trier, 22,43,83,126
COOK:8100023,COOK:New Trier Precinct 23,New Trier, 23,42,73,115
COOK:8100024,COOK:New Trier Precinct 24,New Trier, 24,116,148,264
COOK:8100025,COOK:New Trier Precinct 25,New Trier, 25,62,111,173
COOK:8100026,COOK:New Trier Precinct 26,New Trier, 26,167,255,422
COOK:8100027,COOK:New Trier Precinct 27,New Trier, 27,109,155,264
COOK:8100028,COOK:New Trier Precinct 28,New Trier, 28,39,69,108
COOK:8100029,COOK:New Trier Precinct 29,New Trier, 29,50,107,157
COOK:8100030,COOK:New Trier Precinct 30,New Trier, 30,77,123,200
COOK:8100031,COOK:New Trier Precinct 31,New Trier, 31,99,121,220
COOK:8100032,COOK:New Trier Precinct 32,New Trier, 32,84,160,244
COOK:8100033,COOK:New Trier Precinct 33,New Trier, 33,146,211,357
COOK:8100034,COOK:New Trier Precinct 34,New Trier, 34,99,86,185
COOK:8100035,COOK:New Trier Precinct 35,New Trier, 35,62,92,154
COOK:8100036,COOK:New Trier Precinct 36,New Trier, 36,140,227,367
COOK:8100037,COOK:New Trier Precinct 37,New Trier, 37,111,164,275
COOK:8100038,COOK:New Trier Precinct 38,New Trier, 38,104,190,294
COOK:8100039,COOK:New Trier Precinct 39,New Trier, 39,67,90,157
COOK:8200001,COOK:Niles Precinct 1,Niles, 1,95,141,236
COOK:8200002,COOK:Niles Precinct 2,Niles, 2,89,96,185
COOK:8200003,COOK:Niles Precinct 3,Niles, 3,98,176,274
COOK:8200004,COOK:Niles Precinct 4,Niles, 4,53,83,136
COOK:8200005,COOK:Niles Precinct 5,Niles, 5,45,114,159
COOK:8200006,COOK:Niles Precinct 6,Niles, 6,94,161,255
COOK:8200007,COOK:Niles Precinct 7,Niles, 7,127,163,290
COOK:8200008,COOK:Niles Precinct 8,Niles, 8,34,129,163
COOK:8200009,COOK:Niles Precinct 9,Niles, 9,49,87,136
COOK:8200010,COOK:Niles Precinct 10,Niles, 10,80,133,213
COOK:8200011,COOK:Niles Precinct 11,Niles, 11,46,58,104
COOK:8200012,COOK:Niles Precinct 12,Niles, 12,72,76,148
COOK:8200013,COOK:Niles Precinct 13,Niles, 13,56,111,167
COOK:8200014,COOK:Niles Precinct 14,Niles, 14,105,223,328
COOK:8200015,COOK:Niles Precinct 15,Niles, 15,92,159,251
COOK:8200016,COOK:Niles Precinct 16,Niles, 16,119,199,318
COOK:8200017,COOK:Niles Precinct 17,Niles, 17,119,184,303
COOK:8200018,COOK:Niles Precinct 18,Niles, 18,167,331,498
COOK:8200019,COOK:Niles Precinct 19,Niles, 19,92,329,421
COOK:8200020,COOK:Niles Precinct 20,Niles, 20,70,98,168
COOK:8200021,COOK:Niles Precinct 21,Niles, 21,169,389,558
COOK:8200022,COOK:Niles Precinct 22,Niles, 22,63,92,155
COOK:8200023,COOK:Niles Precinct 23,Niles, 23,98,230,328
COOK:8200024,COOK:Niles Precinct 24,Niles, 24,100,151,251
COOK:8200025,COOK:Niles Precinct 25,Niles, 25,52,67,119
COOK:8200026,COOK:Niles Precinct 26,Niles, 26,73,110,183
COOK:8200027,COOK:Niles Precinct 27,Niles, 27,67,61,128
COOK:8200028,COOK:Niles Precinct 28,Niles, 28,119,235,354
COOK:8200029,COOK:Niles Precinct 29,Niles, 29,70,137,207
COOK:8200030,COOK:Niles Precinct 30,Niles, 30,49,85,134
COOK:8200031,COOK:Niles Precinct 31,Niles, 31,128,183,311
COOK:8200032,COOK:Niles Precinct 32,Niles, 32,67,56,123
COOK:8200033,COOK:Niles Precinct 33,Niles, 33,102,204,306
COOK:8200034,COOK:Niles Precinct 34,Niles, 34,72,115,187
COOK:8200035,COOK:Niles Precinct 35,Niles, 35,77,193,270
COOK:8200036,COOK:Niles Precinct 36,Niles, 36,59,80,139
COOK:8200037,COOK:Niles Precinct 37,Niles, 37,72,144,216
COOK:8200038,COOK:Niles Precinct 38,Niles, 38,153,217,370
COOK:8200039,COOK:Niles Precinct 39,Niles, 39,110,156,266
COOK:8200040,COOK:Niles Precinct 40,Niles, 40,143,254,397
COOK:8200041,COOK:Niles Precinct 41,Niles, 41,107,152,259
COOK:8200042,COOK:Niles Precinct 42,Niles, 42,76,129,205
COOK:8200043,COOK:Niles Precinct 43,Niles, 43,89,117,206
COOK:8200044,COOK:Niles Precinct 44,Niles, 44,83,178,261
COOK:8200045,COOK:Niles Precinct 45,Niles, 45,82,143,225
COOK:8200046,COOK:Niles Precinct 46,Niles, 46,105,144,249
COOK:8200047,COOK:Niles Precinct 47,Niles, 47,50,138,188
COOK:8200048,COOK:Niles Precinct 48,Niles, 48,70,81,151
COOK:8200049,COOK:Niles Precinct 49,Niles, 49,160,282,442
COOK:8200050,COOK:Niles Precinct 50,Niles, 50,90,126,216
COOK:8200051,COOK:Niles Precinct 51,Niles, 51,48,67,115
COOK:8200052,COOK:Niles Precinct 52,Niles, 52,42,96,138
COOK:8200053,COOK:Niles Precinct 53,Niles, 53,126,206,332
COOK:8200054,COOK:Niles Precinct 54,Niles, 54,60,64,124
COOK:8200055,COOK:Niles Precinct 55,Niles, 55,53,110,163
COOK:8200056,COOK:Niles Precinct 56,Niles, 56,109,174,283
COOK:8200057,COOK:Niles Precinct 57,Niles, 57,85,158,243
COOK:8200058,COOK:Niles Precinct 58,Niles, 58,113,158,271
COOK:8200059,COOK:Niles Precinct 59,Niles, 59,116,196,312
COOK:8200060,COOK:Niles Precinct 60,Niles, 60,116,181,297
COOK:8200061,COOK:Niles Precinct 61,Niles, 61,100,153,253
COOK:8200062,COOK:Niles Precinct 62,Niles, 62,62,59,121
COOK:8300001,COOK:Northfield Precinct 1,Northfield, 1,58,76,134
COOK:8300002,COOK:Northfield Precinct 2,Northfield, 2,74,98,172
COOK:8300003,COOK:Northfield Precinct 3,Northfield, 3,107,133,240
COOK:8300004,COOK:Northfield Precinct 4,Northfield, 4,64,111,175
COOK:8300005,COOK:Northfield Precinct 5,Northfield, 5,56,72,128
COOK:8300006,COOK:Northfield Precinct 6,Northfield, 6,74,116,190
COOK:8300007,COOK:Northfield Precinct 7,Northfield, 7,123,152,275
COOK:8300008,COOK:Northfield Precinct 8,Northfield, 8,89,125,214
COOK:8300009,COOK:Northfield Precinct 9,Northfield, 9,55,91,146
COOK:8300010,COOK:Northfield Precinct 10,Northfield, 10,68,100,168
COOK:8300011,COOK:Northfield Precinct 11,Northfield, 11,94,118,212
COOK:8300012,COOK:Northfield Precinct 12,Northfield, 12,133,193,326
COOK:8300013,COOK:Northfield Precinct 13,Northfield, 13,75,80,155
COOK:8300014,COOK:Northfield Precinct 14,Northfield, 14,66,106,172
COOK:8300015,COOK:Northfield Precinct 15,Northfield, 15,121,220,341
COOK:8300016,COOK:Northfield Precinct 16,Northfield, 16,77,123,200
COOK:8300017,COOK:Northfield Precinct 17,Northfield, 17,119,113,232
COOK:8300018,COOK:Northfield Precinct 18,Northfield, 18,105,125,230
COOK:8300019,COOK:Northfield Precinct 19,Northfield, 19,99,134,233
COOK:8300020,COOK:Northfield Precinct 20,Northfield, 20,93,104,197
COOK:8300021,COOK:Northfield Precinct 21,Northfield, 21,129,178,307
COOK:8300022,COOK:Northfield Precinct 22,Northfield, 22,73,117,190
COOK:8300023,COOK:Northfield Precinct 23,Northfield, 23,55,84,139
COOK:8300024,COOK:Northfield Precinct 24,Northfield, 24,78,113,191
COOK:8300025,COOK:Northfield Precinct 25,Northfield, 25,87,81,168
COOK:8300026,COOK:Northfield Precinct 26,Northfield, 26,71,112,183
COOK:8300027,COOK:Northfield Precinct 27,Northfield, 27,93,79,172
COOK:8300028,COOK:Northfield Precinct 28,Northfield, 28,119,201,320
COOK:8300029,COOK:Northfield Precinct 29,Northfield, 29,50,109,159
COOK:8300030,COOK:Northfield Precinct 30,Northfield, 30,86,141,227
COOK:8300031,COOK:Northfield Precinct 31,Northfield, 31,85,128,213
COOK:8300032,COOK:Northfield Precinct 32,Northfield, 32,107,119,226
COOK:8300033,COOK:Northfield Precinct 33,Northfield, 33,33,41,74
COOK:8300034,COOK:Northfield Precinct 34,Northfield, 34,55,103,158
COOK:8300035,COOK:Northfield Precinct 35,Northfield, 35,69,107,176
COOK:8300036,COOK:Northfield Precinct 36,Northfield, 36,63,83,146
COOK:8300037,COOK:Northfield Precinct 37,Northfield, 37,98,176,274
COOK:8300038,COOK:Northfield Precinct 38,Northfield, 38,62,99,161
COOK:8300039,COOK:Northfield Precinct 39,Northfield, 39,46,52,98
COOK:8300040,COOK:Northfield Precinct 40,Northfield, 40,49,55,104
COOK:8300041,COOK:Northfield Precinct 41,Northfield, 41,84,108,192
COOK:8300042,COOK:Northfield Precinct 42,Northfield, 42,84,92,176
COOK:8300043,COOK:Northfield Precinct 43,Northfield, 43,98,87,185
COOK:8300044,COOK:Northfield Precinct 44,Northfield, 44,49,119,168
COOK:8300045,COOK:Northfield Precinct 45,Northfield, 45,59,79,138
COOK:8300046,COOK:Northfield Precinct 46,Northfield, 46,72,137,209
COOK:8300047,COOK:Northfield Precinct 47,Northfield, 47,134,156,290
COOK:8300048,COOK:Northfield Precinct 48,Northfield, 48,67,92,159
COOK:8300049,COOK:Northfield Precinct 49,Northfield, 49,59,63,122
COOK:8300050,COOK:Northfield Precinct 50,Northfield, 50,77,98,175
COOK:8300051,COOK:Northfield Precinct 51,Northfield, 51,191,302,493
COOK:8300052,COOK:Northfield Precinct 52,Northfield, 52,96,126,222
COOK:8300053,COOK:Northfield Precinct 53,Northfield, 53,83,136,219
COOK:8300054,COOK:Northfield Precinct 54,Northfield, 54,149,142,291
COOK:8300055,COOK:Northfield Precinct 55,Northfield, 55,102,105,207
COOK:8300056,COOK:Northfield Precinct 56,Northfield, 56,107,155,262
COOK:8300057,COOK:Northfield Precinct 57,Northfield, 57,53,85,138
COOK:8300058,COOK:Northfield Precinct 58,Northfield, 58,37,39,76
COOK:8400001,COOK:Norwood Park Precinct 1,Norwood Park, 1,64,88,152
COOK:8400002,COOK:Norwood Park Precinct 2,Norwood Park, 2,56,77,133
COOK:8400003,COOK:Norwood Park Precinct 3,Norwood Park, 3,57,131,188
COOK:8400004,COOK:Norwood Park Precinct 4,Norwood Park, 4,50,54,104
COOK:8400005,COOK:Norwood Park Precinct 5,Norwood Park, 5,68,119,187
COOK:8400006,COOK:Norwood Park Precinct 6,Norwood Park, 6,72,84,156
COOK:8400007,COOK:Norwood Park Precinct 7,Norwood Park, 7,38,67,105
COOK:8400008,COOK:Norwood Park Precinct 8,Norwood Park, 8,30,28,58
COOK:8400009,COOK:Norwood Park Precinct 9,Norwood Park, 9,68,83,151
COOK:8400010,COOK:Norwood Park Precinct 10,Norwood Park, 10,33,42,75
COOK:8400011,COOK:Norwood Park Precinct 11,Norwood Park, 11,84,132,216
COOK:8400012,COOK:Norwood Park Precinct 12,Norwood Park, 12,65,58,123
COOK:8400013,COOK:Norwood Park Precinct 13,Norwood Park, 13,40,69,109
COOK:8400014,COOK:Norwood Park Precinct 14,Norwood Park, 14,40,77,117
COOK:9600001,COOK:Wheeling Precinct 1,Wheeling, 1,152,137,289
COOK:9600011,COOK:Wheeling Precinct 11,Wheeling, 11,72,102,174
COOK:9600012,COOK:Wheeling Precinct 12,Wheeling, 12,100,87,187
COOK:9600016,COOK:Wheeling Precinct 16,Wheeling, 16,30,27,57
COOK:9600029,COOK:Wheeling Precinct 29,Wheeling, 29,2,4,6
COOK:9600032,COOK:Wheeling Precinct 32,Wheeling, 32,69,95,164
COOK:9600043,COOK:Wheeling Precinct 43,Wheeling, 43,58,64,122
COOK:9600049,COOK:Wheeling Precinct 49,Wheeling, 49,87,109,196
COOK:9600056,COOK:Wheeling Precinct 56,Wheeling, 56,65,59,124
COOK:9600065,COOK:Wheeling Precinct 65,Wheeling, 65,104,113,217
COOK:9600067,COOK:Wheeling Precinct 67,Wheeling, 67,59,72,131
COOK:9600069,COOK:Wheeling Precinct 69,Wheeling, 69,109,165,274
COOK:9600075,COOK:Wheeling Precinct 75,Wheeling, 75,65,89,154
COOK:9600076,COOK:Wheeling Precinct 76,Wheeling, 76,88,92,180
COOK:9600077,COOK:Wheeling Precinct 77,Wheeling, 77,39,30,69
COOK:9600080,COOK:Wheeling Precinct 80,Wheeling, 80,61,46,107
